Time,Right sensor values,Left sensor values,Grip Position,Robot State,Robot joint positions
2022-01-07 10:59:21.970708,0.07392156862745097,0.3752941176470588,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.977658,0.07392156862745097,0.3070588235294117,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:21.988334,0.07392156862745097,0.3070588235294117,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.004558,0.07392156862745097,0.3070588235294117,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.014222,0.07392156862745097,0.25588235294117645,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.026908,0.07392156862745097,0.25588235294117645,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.035357,0.07392156862745097,0.25588235294117645,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.049715,0.07392156862745097,0.25588235294117645,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.056454,0.07392156862745097,0.3013725490196078,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.065029,0.07392156862745097,0.3013725490196078,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.075551,0.07392156862745097,0.3013725490196078,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
2022-01-07 10:59:22.090212,0.07392156862745097,0.34117647058823525,0,0,"[97.6459, -1.740832, 114.6326, -23.48555, 89.83, 98.19055]"
